mavpackettype,TimeUS,Dist,TBrg,NavBrg,AltE,XT,XTi,AsE,TLat,TLng,TAW,TAT,TAsp,ap_time_s
NTUN,2239998,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239998
NTUN,2279998,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.279998
NTUN,2319998,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.319998
NTUN,2359998,0.0,0.0,0.0,0.07,0.0,0.0,-12.507254600524902,0.0,0.0,0.0,0.0,13.0,2.359998
NTUN,2399998,0.0,0.0,0.0,0.09,0.0,0.0,-12.507254600524902,0.0,0.0,0.0,0.0,13.0,2.399998
NTUN,2439998,0.0,0.0,0.0,0.09,0.0,0.0,-12.507254600524902,0.0,0.0,0.0,0.0,13.0,2.439998
NTUN,2479998,0.0,0.0,0.0,0.04,0.0,0.0,-12.516435623168945,0.0,0.0,0.0,0.0,13.0,2.479998
NTUN,2519998,0.0,0.0,0.0,0.04,0.0,0.0,-12.516435623168945,0.0,0.0,0.0,0.0,13.0,2.519998
NTUN,2559998,0.0,0.0,0.0,0.04,0.0,0.0,-12.537836074829102,0.0,0.0,0.0,0.0,13.0,2.559998
NTUN,2599998,0.0,0.0,0.0,0.31,0.0,0.0,-12.537836074829102,0.0,0.0,0.0,0.0,13.0,2.599998
NTUN,2639998,0.0,0.0,0.0,0.31,0.0,0.0,-12.537836074829102,0.0,0.0,0.0,0.0,13.0,2.639998
NTUN,2679998,0.0,0.0,0.0,0.3,0.0,0.0,-12.566024780273438,0.0,0.0,0.0,0.0,13.0,2.679998
NTUN,2719998,0.0,0.0,0.0,0.3,0.0,0.0,-12.566024780273438,0.0,0.0,0.0,0.0,13.0,2.719998
NTUN,2759998,0.0,0.0,0.0,0.3,0.0,0.0,-12.599069595336914,0.0,0.0,0.0,0.0,13.0,2.759998
NTUN,2799998,0.0,0.0,0.0,0.22,0.0,0.0,-12.599069595336914,0.0,0.0,0.0,0.0,13.0,2.799998
NTUN,2839998,0.0,0.0,0.0,0.22,0.0,0.0,-12.599069595336914,0.0,0.0,0.0,0.0,13.0,2.839998
NTUN,2879998,0.0,0.0,0.0,0.34,0.0,0.0,-12.632906913757324,0.0,0.0,0.0,0.0,13.0,2.879998
NTUN,2919998,0.0,0.0,0.0,0.34,0.0,0.0,-12.632906913757324,0.0,0.0,0.0,0.0,13.0,2.919998
NTUN,2959998,0.0,0.0,0.0,0.34,0.0,0.0,-12.66983413696289,0.0,0.0,0.0,0.0,13.0,2.959998
NTUN,2999998,0.0,0.0,0.0,0.25,0.0,0.0,-12.66983413696289,0.0,0.0,0.0,0.0,13.0,2.999998
NTUN,3039998,0.0,0.0,0.0,0.25,0.0,0.0,-12.66983413696289,0.0,0.0,0.0,0.0,13.0,3.039998
NTUN,3079998,0.0,0.0,0.0,0.23,0.0,0.0,-12.706422805786133,0.0,0.0,0.0,0.0,13.0,3.079998
NTUN,3119998,0.0,0.0,0.0,0.23,0.0,0.0,-12.706422805786133,0.0,0.0,0.0,0.0,13.0,3.119998
NTUN,3159998,0.0,0.0,0.0,0.23,0.0,0.0,-12.746889114379883,0.0,0.0,0.0,0.0,13.0,3.159998
NTUN,3199998,0.0,0.0,0.0,0.47,0.0,0.0,-12.746889114379883,0.0,0.0,0.0,0.0,13.0,3.199998
NTUN,3239998,0.0,0.0,0.0,0.47,0.0,0.0,-12.746889114379883,0.0,0.0,0.0,0.0,13.0,3.239998
