mavpackettype,TimeUS,Tar,Act,Err,P,I,D,FF,DFF,Dmod,SRate,Flags,ap_time_s
PIDY,2239998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.239998
PIDY,2279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.279998
PIDY,2319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.319998
PIDY,2359998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.359998
PIDY,2399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.399998
PIDY,2439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.439998
PIDY,2479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.479998
PIDY,2519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.519998
PIDY,2559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.559998
PIDY,2599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.599998
PIDY,2639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.639998
PIDY,2679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.679998
PIDY,2719998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.719998
PIDY,2759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.759998
PIDY,2799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.799998
PIDY,2839998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.839998
PIDY,2879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.879998
PIDY,2919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.919998
PIDY,2959998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.959998
PIDY,2999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.999998
PIDY,3039998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.039998
PIDY,3079998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.079998
PIDY,3119998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.119998
PIDY,3159998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.159998
PIDY,3199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.199998
PIDY,3239998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.239998
PIDY,3279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.279998
PIDY,3319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.319998
PIDY,3359998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.359998
PIDY,3399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.399998
PIDY,3439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.439998
PIDY,3479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.479998
PIDY,3519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.519998
PIDY,3559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.559998
PIDY,3599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.599998
PIDY,3639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.639998
PIDY,3679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.679998
PIDY,3719998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.719998
PIDY,3759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.759998
PIDY,3799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.799998
PIDY,3839998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.839998
PIDY,3879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.879998
PIDY,3919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.919998
PIDY,3959998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.959998
PIDY,4019996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.019996
PIDY,4079993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.079993
PIDY,4139990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.13999
PIDY,4199988,0.0,0.0,0.0,0.0,0.0172000490128994,7.937130928039551,0.0,0.0,0.0,0.0,0,4.199988
PIDY,4239988,0.0,0.0,0.0,0.0,0.03408219292759895,7.692035675048828,0.0,0.0,0.0,0.0,0,4.239988
PIDY,4279988,0.0,0.0,0.0,0.0,0.049821965396404266,7.1126227378845215,0.0,0.0,0.0,0.0,0,4.279988
PIDY,4319988,0.0,0.0,0.0,0.0,0.06426531821489334,6.300395965576172,0.0,0.0,0.0,0.0,0,4.319988
PIDY,4359988,0.0,0.0,0.0,0.0,0.07631801068782806,5.173151969909668,0.0,0.0,0.0,0.0,0,4.359988
PIDY,4399988,0.0,0.0,0.0,0.0,0.08600301295518875,3.8405964374542236,0.0,0.0,0.0,0.0,0,4.399988
PIDY,4439988,0.0,0.0,0.0,0.0,0.09257058054208755,2.318984031677246,0.0,0.0,0.0,0.0,0,4.439988
PIDY,4479988,0.0,0.0,0.0,0.0,0.09530662000179291,0.651555597782135,0.0,0.0,0.0,0.0,0,4.479988
