mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,ap_time_s
RCIN,2199998,1500,1500,1453,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.199998
RCIN,2239998,1500,1500,1452,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.239998
RCIN,2279998,1500,1500,1450,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.279998
RCIN,2319998,1500,1500,1448,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.319998
RCIN,2359998,1500,1500,1446,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.359998
RCIN,2399998,1500,1500,1444,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.399998
RCIN,2439998,1500,1500,1442,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.439998
RCIN,2479998,1500,1500,1440,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.479998
RCIN,2519998,1500,1500,1438,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.519998
RCIN,2559998,1500,1500,1436,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.559998
RCIN,2599998,1500,1500,1434,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.599998
RCIN,2639998,1500,1500,1432,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.639998
RCIN,2679998,1500,1500,1430,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.679998
RCIN,2719998,1500,1500,1428,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.719998
RCIN,2759998,1500,1500,1426,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.759998
RCIN,2799998,1500,1500,1424,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.799998
RCIN,2839998,1500,1500,1422,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.839998
RCIN,2879998,1500,1500,1421,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.879998
RCIN,2919998,1500,1500,1419,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.919998
RCIN,2959998,1500,1500,1417,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.959998
RCIN,2999998,1500,1500,1415,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.999998
RCIN,3039998,1500,1500,1413,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.039998
RCIN,3079998,1500,1500,1412,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.079998
RCIN,3119998,1500,1500,1410,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.119998
RCIN,3159998,1500,1500,1408,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.159998
RCIN,3199998,1500,1500,1406,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.199998
RCIN,3239998,1500,1500,1405,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.239998
RCIN,3279998,1500,1500,1403,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.279998
RCIN,3319998,1500,1500,1401,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.319998
RCIN,3359998,1500,1500,1400,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.359998
RCIN,3399998,1500,1500,1398,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.399998
RCIN,3439998,1500,1500,1397,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.439998
RCIN,3479998,1500,1500,1395,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.479998
RCIN,3519998,1500,1500,1394,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.519998
RCIN,3559998,1500,1500,1392,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.559998
RCIN,3599998,1500,1500,1391,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.599998
RCIN,3639998,1500,1500,1390,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.639998
RCIN,3679998,1500,1500,1388,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.679998
RCIN,3719998,1500,1500,1387,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.719998
RCIN,3759998,1500,1500,1386,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.759998
RCIN,3799998,1500,1500,1385,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.799998
RCIN,3839998,1500,1500,1383,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.839998
RCIN,3879998,1500,1500,1382,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.879998
RCIN,3919998,1500,1500,1381,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.919998
RCIN,3959998,1500,1500,1380,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.959998
RCIN,4019996,1500,1500,1379,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.019996
RCIN,4079993,1500,1500,1377,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.079993
RCIN,4139990,1500,1500,1376,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.13999
RCIN,4199988,1500,1500,1374,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.199988
RCIN,4239988,1500,1500,1374,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.239988
RCIN,4279988,1500,1500,1373,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.279988
RCIN,4319988,1500,1500,1373,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.319988
RCIN,4359988,1500,1500,1372,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.359988
RCIN,4399988,1500,1500,1372,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.399988
RCIN,4439988,1500,1500,1373,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.439988
RCIN,4479988,1500,1500,1374,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.479988
